joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.172546,0.107517,0.006666,0.129404,0.048124,0.066417,0.358206,-0.061075,-0.088623,0.064719,0.107067,-0.359992,-0.399802,-0.603636,-0.215454,0.239999,-0.240000,0.138804,-0.001428,-0.156152,0.144986,0.350009,0.349977,-1.950000,1.950000,0.150000,0.150001,0.020002,-0.019997
0.135254,0.102639,-0.000011,0.123713,0.045377,0.047832,0.280198,-0.051704,-0.031870,0.127449,0.136405,-0.360045,-0.399874,-0.643708,-0.245818,0.239999,-0.240000,0.189381,-0.009191,-0.153636,0.144273,0.350013,0.349985,-1.950000,1.950000,0.150000,0.150001,0.020003,-0.020000
0.106032,0.107456,0.003118,0.120710,0.043659,0.036760,0.227140,-0.035707,0.006598,0.207203,0.158725,-0.360066,-0.399926,-0.676493,-0.274765,0.240000,-0.240000,0.222612,-0.026434,-0.151617,0.144317,0.350013,0.349991,-1.950000,1.950000,0.150000,0.150001,0.020003,-0.020001
0.082573,0.118835,0.012747,0.120400,0.042537,0.031463,0.194445,-0.016176,0.030719,0.294635,0.175456,-0.360062,-0.399962,-0.701099,-0.300300,0.240000,-0.240000,0.241254,-0.047889,-0.150045,0.144904,0.350009,0.349995,-1.950000,1.950000,0.150000,0.150001,0.020003,-0.020001
0.062573,0.133646,0.025569,0.122789,0.041579,0.030201,0.177527,0.003800,0.044428,0.380397,0.188024,-0.360044,-0.399986,-0.716634,-0.320430,0.240001,-0.240000,0.248061,-0.068284,-0.148866,0.145823,0.350004,0.349998,-1.950000,1.950000,0.150000,0.150000,0.020002,-0.020001
0.043208,0.147087,0.036936,0.130707,0.041113,0.031810,0.173430,0.019933,0.054033,0.453094,0.199859,-0.360022,-0.400002,-0.722137,-0.331246,0.240001,-0.240000,0.243569,-0.080257,-0.147987,0.146662,0.349999,0.350000,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020001
0.021020,0.156608,0.043923,0.136236,0.037192,0.031635,0.169322,0.027008,0.060231,0.501345,0.210133,-0.360009,-0.400016,-0.713908,-0.330374,0.240001,-0.240000,0.237319,-0.076782,-0.147415,0.147535,0.349998,0.350003,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020001
-0.000938,0.163834,0.045975,0.144281,0.034416,0.031491,0.169611,0.029332,0.064015,0.520796,0.213338,-0.360000,-0.400022,-0.694674,-0.320321,0.240001,-0.240000,0.226752,-0.060809,-0.147154,0.148248,0.349999,0.350004,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020002
-0.023133,0.173759,0.047631,0.152561,0.031871,0.030205,0.171418,0.029924,0.065834,0.516546,0.212094,-0.359997,-0.400022,-0.672682,-0.312773,0.240001,-0.240000,0.217819,-0.038610,-0.147173,0.149232,0.350002,0.350005,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020002
-0.047961,0.184156,0.049428,0.159683,0.030768,0.029935,0.173967,0.028523,0.067418,0.486860,0.206085,-0.359993,-0.400017,-0.642038,-0.302998,0.240001,-0.240000,0.213977,-0.006306,-0.147358,0.150064,0.350004,0.350004,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020002
-0.075480,0.195973,0.051547,0.165976,0.030322,0.029209,0.178495,0.031314,0.069598,0.440796,0.197942,-0.359987,-0.400008,-0.612986,-0.302181,0.240001,-0.240000,0.214609,0.019658,-0.147485,0.150594,0.350005,0.350002,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020001
-0.104243,0.209886,0.054250,0.170226,0.029798,0.027968,0.186787,0.035359,0.072246,0.385248,0.190638,-0.359984,-0.399998,-0.583093,-0.307566,0.240001,-0.240000,0.220752,0.044538,-0.147561,0.150869,0.350004,0.350000,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020001
-0.133658,0.225254,0.058600,0.175979,0.029516,0.026464,0.201362,0.041952,0.075415,0.326732,0.184937,-0.359983,-0.399994,-0.552949,-0.322058,0.240001,-0.240000,0.225288,0.062239,-0.147603,0.151017,0.350003,0.350000,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020001
-0.162126,0.241134,0.063806,0.182849,0.030033,0.025116,0.221014,0.052075,0.081953,0.267135,0.181329,-0.359982,-0.399994,-0.521882,-0.342311,0.240001,-0.240000,0.227260,0.069127,-0.147398,0.150808,0.350002,0.350001,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020001
-0.183150,0.261950,0.069564,0.190053,0.029901,0.022215,0.241913,0.061240,0.086509,0.206515,0.173509,-0.359984,-0.399996,-0.493224,-0.366945,0.240001,-0.240000,0.227857,0.068792,-0.147138,0.150694,0.350001,0.350002,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020001
-0.198472,0.283346,0.075437,0.196097,0.029003,0.018959,0.262185,0.072561,0.089544,0.153347,0.164941,-0.359986,-0.400002,-0.464402,-0.392330,0.240001,-0.240000,0.227985,0.062433,-0.146827,0.150635,0.350002,0.350004,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020000
-0.208623,0.304562,0.080556,0.199112,0.026547,0.015364,0.278835,0.086748,0.090986,0.116469,0.155484,-0.359990,-0.400008,-0.441399,-0.413645,0.240001,-0.239999,0.229994,0.051180,-0.146741,0.150869,0.350004,0.350004,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.019999
-0.214955,0.319816,0.082558,0.200332,0.023516,0.013600,0.295384,0.098967,0.091260,0.090997,0.148052,-0.359993,-0.400011,-0.414720,-0.421685,0.240001,-0.239999,0.231652,0.045674,-0.146778,0.150811,0.350005,0.350004,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.019999
-0.214778,0.330135,0.082564,0.199883,0.018647,0.012907,0.307968,0.107203,0.089199,0.076542,0.143523,-0.359995,-0.400011,-0.394230,-0.419852,0.240001,-0.239999,0.236237,0.043879,-0.146892,0.150538,0.350006,0.350003,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.019999
-0.208588,0.338658,0.080630,0.196653,0.013342,0.013960,0.313826,0.107054,0.085160,0.071242,0.144056,-0.359997,-0.400006,-0.374920,-0.405516,0.240001,-0.239999,0.245354,0.054868,-0.146967,0.149816,0.350006,0.350002,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020000
-0.197384,0.343380,0.079623,0.192085,0.003827,0.015189,0.317548,0.094813,0.078863,0.071645,0.147662,-0.360000,-0.400000,-0.361541,-0.388733,0.240001,-0.239999,0.250475,0.068617,-0.147098,0.149097,0.350005,0.350000,-1.950001,1.950000,0.150000,0.150000,0.020001,-0.020001
-0.184130,0.346192,0.075559,0.184798,-0.005496,0.016258,0.322359,0.084521,0.071981,0.071964,0.153031,-0.360002,-0.399991,-0.350087,-0.370592,0.240001,-0.239999,0.255002,0.084712,-0.147337,0.148006,0.350004,0.349998,-1.950001,1.950000,0.150000,0.150000,0.020001,-0.020002
-0.167651,0.348630,0.070463,0.173932,-0.018823,0.015279,0.332111,0.075415,0.063494,0.070364,0.161871,-0.360007,-0.399984,-0.343773,-0.356473,0.240001,-0.239999,0.257156,0.101615,-0.148022,0.147398,0.350004,0.349996,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.020003
-0.152593,0.350440,0.068000,0.158421,-0.034016,0.013367,0.341829,0.070713,0.054825,0.068458,0.172893,-0.360010,-0.399979,-0.341883,-0.354005,0.240001,-0.239999,0.257928,0.113951,-0.148713,0.147139,0.350004,0.349995,-1.950000,1.950000,0.150000,0.150001,0.019999,-0.020002
-0.140062,0.351349,0.064039,0.137372,-0.046767,0.010422,0.351176,0.078258,0.048635,0.068289,0.189398,-0.360011,-0.399974,-0.346439,-0.353835,0.240001,-0.239999,0.259733,0.115472,-0.149145,0.146626,0.350005,0.349994,-1.950000,1.950000,0.150000,0.150001,0.019998,-0.020002
-0.126536,0.348455,0.056838,0.115945,-0.058699,0.005019,0.361337,0.089183,0.044758,0.068407,0.215867,-0.360019,-0.399965,-0.353739,-0.352093,0.240001,-0.239999,0.259276,0.110413,-0.149178,0.145711,0.350006,0.349991,-1.950000,1.950000,0.150000,0.150001,0.019997,-0.020001
-0.108527,0.339751,0.047452,0.095795,-0.068334,-0.001081,0.366751,0.099645,0.042932,0.067463,0.260493,-0.360033,-0.399957,-0.372163,-0.349438,0.240001,-0.239999,0.259971,0.099098,-0.149192,0.144707,0.350008,0.349988,-1.950000,1.950000,0.150000,0.150001,0.019998,-0.020000
-0.090110,0.310379,0.034700,0.077990,-0.071780,-0.004489,0.358441,0.110967,0.046399,0.064847,0.338616,-0.360054,-0.399949,-0.394847,-0.342277,0.240001,-0.239999,0.261669,0.097080,-0.149092,0.143420,0.350011,0.349986,-1.950000,1.950000,0.150000,0.150001,0.019999,-0.020000
