joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-1.118752,-0.146352,-0.200312,-0.170737,-0.082417,-0.557562,-2.340234,0.281138,1.702580,1.881904,0.880129,-0.001602,-0.002154,-1.202146,-0.910920,0.000024,0.000000,1.517288,-0.232874,0.075480,-0.021366,0.000117,0.000237,-0.000009,0.000006,-0.000006,-0.000009,0.000033,-0.000081
-0.997714,-0.000929,-0.053217,-0.130414,-0.066980,-0.444856,-1.965986,0.380515,1.428315,2.137267,0.774876,-0.001107,-0.001860,-1.092847,-0.889658,0.000021,0.000000,1.257124,-0.375088,0.068013,-0.010029,0.000047,0.000206,-0.000006,0.000004,-0.000005,-0.000008,0.000022,-0.000060
-0.790217,0.242940,0.191370,-0.049691,-0.042598,-0.245533,-1.286291,0.532915,0.938834,2.507793,0.585773,-0.000252,-0.001326,-0.860867,-0.817225,0.000015,0.000000,0.778109,-0.580468,0.053862,0.009460,-0.000071,0.000150,-0.000002,0.000002,-0.000002,-0.000005,0.000000,-0.000024
-0.651877,0.392852,0.336755,0.031183,-0.031200,-0.098390,-0.744195,0.592607,0.567450,2.597914,0.439476,0.000330,-0.000902,-0.602118,-0.684973,0.000007,0.000000,0.381726,-0.627750,0.041272,0.022584,-0.000135,0.000106,0.000000,-0.000002,0.000002,-0.000003,-0.000016,0.000000
-0.590478,0.423773,0.362841,0.154605,-0.021365,0.005202,-0.315228,0.541640,0.349706,2.376886,0.366044,0.000597,-0.000601,-0.315576,-0.464194,0.000005,0.000000,0.034724,-0.485534,0.030867,0.026367,-0.000138,0.000076,0.000002,-0.000003,0.000002,-0.000003,-0.000026,0.000008
-0.623293,0.344439,0.275314,0.201706,-0.065795,0.021509,-0.123074,0.348119,0.237037,1.814221,0.331638,0.000529,-0.000444,0.040890,-0.149169,0.000003,0.000000,-0.161129,-0.127472,0.021765,0.025690,-0.000087,0.000075,0.000003,-0.000001,0.000002,-0.000001,-0.000021,-0.000004
-0.662187,0.251211,0.135586,0.203604,-0.100448,-0.004773,-0.057294,0.140985,0.149735,1.015534,0.202178,0.000337,-0.000294,0.411953,0.163881,0.000000,0.000000,-0.252257,0.291725,0.012495,0.023785,-0.000008,0.000066,0.000003,0.000000,0.000003,-0.000002,-0.000010,-0.000012
-0.662297,0.257268,0.055627,0.244880,-0.079824,-0.021439,0.031442,0.043741,0.084046,0.228010,0.029415,0.000173,-0.000095,0.618384,0.264014,-0.000002,0.000000,-0.292506,0.572579,0.003627,0.025454,0.000063,0.000028,0.000001,-0.000002,0.000002,-0.000002,-0.000003,-0.000006
-0.705349,0.304827,0.051794,0.231034,-0.054720,-0.023346,0.065351,-0.012139,0.051051,-0.509042,-0.108788,0.000105,0.000069,0.789541,0.259847,-0.000002,0.000000,-0.191624,0.817547,-0.003053,0.027239,0.000078,-0.000008,0.000002,-0.000004,0.000000,0.000000,0.000000,0.000001
-0.785209,0.333198,0.058733,0.201219,-0.023234,-0.014946,0.106142,0.020856,0.056464,-1.136254,-0.212273,0.000144,0.000201,0.895448,0.158884,0.000000,0.000000,-0.048150,0.874018,-0.004683,0.020433,0.000039,-0.000039,0.000003,-0.000004,0.000000,0.000000,-0.000003,0.000010
-0.844222,0.385952,0.072318,0.158144,-0.014546,-0.029500,0.192293,0.102536,0.072408,-1.524185,-0.231708,0.000134,0.000285,0.884173,-0.068532,-0.000002,0.000002,0.101627,0.762664,-0.003051,0.012088,-0.000005,-0.000054,0.000002,-0.000003,0.000000,0.000002,0.000001,0.000011
-0.872663,0.439223,0.105802,0.150058,-0.012091,-0.041171,0.343019,0.159562,0.087251,-1.710951,-0.195074,0.000072,0.000219,0.900556,-0.298153,-0.000002,0.000003,0.160194,0.638727,-0.001760,0.006339,-0.000025,-0.000027,0.000001,-0.000002,0.000002,0.000002,0.000003,0.000008
-0.868242,0.468728,0.143351,0.189342,0.003512,-0.042780,0.513405,0.250747,0.145615,-1.771696,-0.139633,0.000033,0.000068,0.918166,-0.521172,0.000002,0.000003,0.097615,0.368832,0.002441,-0.000915,-0.000032,0.000011,0.000001,0.000002,0.000002,0.000000,-0.000006,0.000004
